"country","Date","case_type","value"
"Albania",2020-03-07,"Active Cases",0
"Albania",2020-03-07,"Total Cases",0
"Albania",2020-03-07,"Deaths",0
"Albania",2020-03-07,"Recovered",0
"Albania",2020-03-08,"Active Cases",0
"Albania",2020-03-08,"Total Cases",0
"Albania",2020-03-08,"Deaths",0
"Albania",2020-03-08,"Recovered",0
"Albania",2020-03-09,"Active Cases",2
"Albania",2020-03-09,"Total Cases",2
"Albania",2020-03-09,"Deaths",0
"Albania",2020-03-09,"Recovered",0
"Albania",2020-03-10,"Active Cases",10
"Albania",2020-03-10,"Total Cases",10
"Albania",2020-03-10,"Deaths",0
"Albania",2020-03-10,"Recovered",0
"Albania",2020-03-11,"Active Cases",11
"Albania",2020-03-11,"Total Cases",12
"Albania",2020-03-11,"Deaths",1
"Albania",2020-03-11,"Recovered",0
"Albania",2020-03-12,"Active Cases",22
"Albania",2020-03-12,"Total Cases",23
"Albania",2020-03-12,"Deaths",1
"Albania",2020-03-12,"Recovered",0
"Albania",2020-03-13,"Active Cases",32
"Albania",2020-03-13,"Total Cases",33
"Albania",2020-03-13,"Deaths",1
"Albania",2020-03-13,"Recovered",0
"Albania",2020-03-14,"Active Cases",37
"Albania",2020-03-14,"Total Cases",38
"Albania",2020-03-14,"Deaths",1
"Albania",2020-03-14,"Recovered",0
"Albania",2020-03-15,"Active Cases",41
"Albania",2020-03-15,"Total Cases",42
"Albania",2020-03-15,"Deaths",1
"Albania",2020-03-15,"Recovered",0
"Albania",2020-03-16,"Active Cases",50
"Albania",2020-03-16,"Total Cases",51
"Albania",2020-03-16,"Deaths",1
"Albania",2020-03-16,"Recovered",0
"Albania",2020-03-17,"Active Cases",54
"Albania",2020-03-17,"Total Cases",55
"Albania",2020-03-17,"Deaths",1
"Albania",2020-03-17,"Recovered",0
"Albania",2020-03-18,"Active Cases",57
"Albania",2020-03-18,"Total Cases",59
"Albania",2020-03-18,"Deaths",2
"Albania",2020-03-18,"Recovered",0
"Albania",2020-03-19,"Active Cases",62
"Albania",2020-03-19,"Total Cases",64
"Albania",2020-03-19,"Deaths",2
"Albania",2020-03-19,"Recovered",0
"Albania",2020-03-20,"Active Cases",68
"Albania",2020-03-20,"Total Cases",70
"Albania",2020-03-20,"Deaths",2
"Albania",2020-03-20,"Recovered",0
"Albania",2020-03-21,"Active Cases",72
"Albania",2020-03-21,"Total Cases",76
"Albania",2020-03-21,"Deaths",2
"Albania",2020-03-21,"Recovered",2
"Albania",2020-03-22,"Active Cases",85
"Albania",2020-03-22,"Total Cases",89
"Albania",2020-03-22,"Deaths",2
"Albania",2020-03-22,"Recovered",2
"Albania",2020-03-23,"Active Cases",98
"Albania",2020-03-23,"Total Cases",104
"Albania",2020-03-23,"Deaths",4
"Albania",2020-03-23,"Recovered",2
"Albania",2020-03-24,"Active Cases",108
"Albania",2020-03-24,"Total Cases",123
"Albania",2020-03-24,"Deaths",5
"Albania",2020-03-24,"Recovered",10
"Albania",2020-03-25,"Active Cases",124
"Albania",2020-03-25,"Total Cases",146
"Albania",2020-03-25,"Deaths",5
"Albania",2020-03-25,"Recovered",17
"Albania",2020-03-26,"Active Cases",151
"Albania",2020-03-26,"Total Cases",174
"Albania",2020-03-26,"Deaths",6
"Albania",2020-03-26,"Recovered",17
"Albania",2020-03-27,"Active Cases",147
"Albania",2020-03-27,"Total Cases",186
"Albania",2020-03-27,"Deaths",8
"Albania",2020-03-27,"Recovered",31
"Albania",2020-03-28,"Active Cases",156
"Albania",2020-03-28,"Total Cases",197
"Albania",2020-03-28,"Deaths",10
"Albania",2020-03-28,"Recovered",31
"Albania",2020-03-29,"Active Cases",169
"Albania",2020-03-29,"Total Cases",212
"Albania",2020-03-29,"Deaths",10
"Albania",2020-03-29,"Recovered",33
"Albania",2020-03-30,"Active Cases",168
"Albania",2020-03-30,"Total Cases",223
"Albania",2020-03-30,"Deaths",11
"Albania",2020-03-30,"Recovered",44
